Num_Nodos;Num_Procesos;Tipo_Proceso;Identificador;T_In;T_Out;T_Dif
50;3;RESERVA/ANULACION;935298624;20:51:19.067632;20:51:19.067856;224
50;3;PAGO;960476736;20:51:19.067617;20:51:19.068224;607
50;3;RESERVA/ANULACION;952084032;20:51:19.067624;20:51:19.068256;632
50;3;PAGO;943691328;20:51:19.067628;20:51:19.068275;647
50;3;RESERVA/ANULACION;926905920;20:51:19.067639;20:51:19.067945;306
50;3;ANULACION;985654848;20:51:19.067647;20:51:19.068353;706
50;3;PAGO;968869440;20:51:19.067612;20:51:19.068724;1112
50;3;CONSULTA;977262144;20:51:19.067596;20:51:19.068760;1164
50;3;CONSULTA;918513216;20:51:19.067643;20:51:19.068814;1171
50;3;ANULACION;994047552;20:51:19.067650;20:51:19.068843;1193
